iter	RMSE
0	0.3943913045
1	0.3877483772
2	0.381982704
3	0.3774580906
4	0.3729883771
5	0.3692209108
6	0.3662531432
7	0.3633144306
8	0.3611553467
9	0.35914708
10	0.3575900445
11	0.3564373006
12	0.3547976564
13	0.3538138386
14	0.3526054639
15	0.3517224707
16	0.3509146979
17	0.3503508753
18	0.349451171
19	0.3488464934
20	0.3483552084
21	0.3479468722
22	0.3475743161
23	0.3472784547
24	0.3468967068
25	0.3465796206
26	0.346049049
27	0.3457004173
28	0.3454005315
29	0.3449500162
30	0.3447110345
31	0.3445053205
32	0.3443010456
33	0.3438426256
34	0.3435525722
35	0.343186924
36	0.3430428495
37	0.3427289351
38	0.3424988186
39	0.3423017584
40	0.3421360516
41	0.3419717504
42	0.341764673
43	0.3416566201
44	0.3414365438
45	0.3412721794
46	0.3411325989
47	0.3408946428
48	0.3407853962
49	0.3406094934
50	0.3404393954
51	0.3401858223
52	0.340012429
53	0.3397568181
54	0.339533982
55	0.3393154374
56	0.3391583506
57	0.3390410562
58	0.3389509705
59	0.3386986795
60	0.3384787287
61	0.3383293992
62	0.3382075583
63	0.3379817751
64	0.3378329338
65	0.3377303346
66	0.3375591057
67	0.3374442031
68	0.3373060324
69	0.3371897343
70	0.337036279
71	0.3368994609
72	0.3367218368
73	0.3366133279
74	0.3365136578
75	0.336341359
76	0.3361731215
77	0.3360073549
78	0.3357970607
79	0.3356449399
80	0.3355620538
81	0.3354837652
82	0.3353796347
83	0.3352790602
84	0.3351282016
85	0.3349865321
86	0.3348904498
87	0.3347833776
88	0.3345840682
89	0.334484864
90	0.3343559115
91	0.3341578643
92	0.3340370098
93	0.3338221367
94	0.3337167634
95	0.3336665718
96	0.3335205408
97	0.3333144687
98	0.3331558732
99	0.3329436374
