iter	Passed	Remaining
0	12	1236
1	14	721
2	17	549
3	19	457
4	21	401
5	23	362
6	25	334
7	28	322
8	30	308
9	32	294
10	34	283
11	37	271
12	39	262
13	41	253
14	44	249
15	46	244
16	48	237
17	50	231
18	53	226
19	55	221
20	57	215
21	60	213
22	62	209
23	65	205
24	67	202
25	69	198
26	71	194
27	74	190
28	76	188
29	79	184
30	81	181
31	83	177
32	85	174
33	87	170
34	90	167
35	93	165
36	95	162
37	98	160
38	100	156
39	102	153
40	104	150
41	106	147
42	109	145
43	111	142
44	114	139
45	116	136
46	118	133
47	120	130
48	123	128
49	126	126
50	128	123
51	130	120
52	132	117
53	135	115
54	137	112
55	142	111
56	145	109
57	147	107
58	149	104
59	152	101
60	154	98
61	156	96
62	158	93
63	161	90
64	163	87
65	165	85
66	167	82
67	169	79
68	171	77
69	174	74
70	176	71
71	178	69
72	180	66
73	182	63
74	184	61
75	186	58
76	189	56
77	191	54
78	193	51
79	195	48
80	197	46
81	199	43
82	201	41
83	204	38
84	206	36
85	208	34
86	210	31
87	212	29
88	215	26
89	217	24
90	219	21
91	222	19
92	224	16
93	226	14
94	228	12
95	230	9
96	233	7
97	236	4
98	239	2
99	241	0
