iter	RMSE
0	0.3972787142
1	0.3929384135
2	0.3889074342
3	0.3853827764
4	0.3820584626
5	0.379072453
6	0.3764368522
7	0.3738914378
8	0.3717070408
9	0.3694661606
10	0.3676344716
11	0.365975512
12	0.3644243318
13	0.3628224855
14	0.3614562992
15	0.3600690759
16	0.3591454523
17	0.3581960375
18	0.3573012346
19	0.3563503803
20	0.3556686684
21	0.3548310513
22	0.3539217417
23	0.3531959965
24	0.3526817876
25	0.3520769504
26	0.3515842152
27	0.3510000419
28	0.350471858
29	0.3500347644
30	0.3496533355
31	0.3492421267
32	0.3488619427
33	0.348578825
34	0.3482655363
35	0.3480698954
36	0.3477172182
37	0.3474425683
38	0.3471355554
39	0.3468676819
40	0.346631611
41	0.3464006878
42	0.3461773795
43	0.34591271
44	0.3456451216
45	0.3454423681
46	0.3452569884
47	0.3450930573
48	0.3448233273
49	0.3446431599
50	0.3444698105
51	0.3443585262
52	0.3442239777
53	0.3439829883
54	0.3437897661
55	0.3435916397
56	0.3434544947
57	0.3432982568
58	0.3431013703
59	0.3429542367
60	0.3428121707
61	0.3426718377
62	0.3425464834
63	0.3423657583
64	0.3422735022
65	0.3421170997
66	0.3419605011
67	0.3417712435
68	0.3416599015
69	0.3415832593
70	0.3414806303
71	0.3413193114
72	0.3411825368
73	0.3410252808
74	0.340882828
75	0.3407710823
76	0.3406459252
77	0.3404650565
78	0.3403639691
79	0.3402138433
80	0.3401591286
81	0.3400749121
82	0.3398825553
83	0.3398091688
84	0.3397560982
85	0.339597826
86	0.3394664673
87	0.3393618076
88	0.3392493004
89	0.3391924533
90	0.3390998702
91	0.3390009842
92	0.3388372333
93	0.3387412136
94	0.3386415905
95	0.3385673886
96	0.3385034457
97	0.3384012216
98	0.3383190421
99	0.3382162895
100	0.3381564627
101	0.3380355019
102	0.3378942539
103	0.3378344835
104	0.3377552104
105	0.3376865193
106	0.3375529011
107	0.3374639601
108	0.3373447839
109	0.3372522044
110	0.3371698555
111	0.3370649062
112	0.3369738758
113	0.3369037492
114	0.3367868346
115	0.3367107779
116	0.3366388547
117	0.3365293151
118	0.3364608111
119	0.3363836808
120	0.3363289773
121	0.3362674909
122	0.3361557105
123	0.3360929899
124	0.3359726199
125	0.3358479087
126	0.3357559706
127	0.3356130918
128	0.3354894594
129	0.3353955197
130	0.3353348879
131	0.3352654197
132	0.3351486004
133	0.3350912478
134	0.3350179269
135	0.3349342335
136	0.3348250268
137	0.334721439
138	0.334684618
139	0.3345769514
140	0.3345101725
141	0.3344090355
142	0.3343448252
143	0.3342499157
144	0.3341592619
145	0.3341061243
146	0.3340361106
147	0.3338973524
148	0.3338268003
149	0.3337789103
150	0.3337261746
151	0.3336161501
152	0.3335102208
153	0.3334165979
154	0.3333705598
155	0.3333140244
156	0.3332306425
157	0.3331557912
158	0.333106823
159	0.3330392575
160	0.3329693367
161	0.332932224
162	0.3328568318
163	0.3328020123
164	0.3327366394
165	0.3326510541
166	0.3325669415
167	0.3324822914
168	0.3323943811
169	0.3323238306
170	0.3322614209
171	0.3321280091
172	0.3320652329
173	0.3319971604
174	0.3319072782
175	0.3318113492
176	0.3317127629
177	0.3316267988
178	0.3315861815
179	0.3315081309
180	0.3314167562
181	0.3313074501
182	0.3312450845
183	0.3311368893
184	0.3310394471
185	0.3309738335
186	0.3309252445
187	0.3308431786
188	0.3307815018
189	0.3307063321
190	0.3306337
191	0.3305330163
