iter	Passed	Remaining
0	4	4080
1	7	3637
2	10	3460
3	13	3293
4	16	3251
5	19	3244
6	22	3191
7	25	3174
8	28	3148
9	31	3146
10	34	3134
11	37	3107
12	40	3089
13	43	3066
14	46	3053
15	49	3068
16	53	3064
17	55	3026
18	58	3030
19	62	3047
20	65	3064
21	69	3082
22	72	3080
23	75	3075
24	78	3068
25	82	3078
26	85	3088
27	88	3082
28	92	3080
29	95	3071
30	98	3091
31	102	3092
32	105	3081
33	108	3079
34	111	3078
35	114	3060
36	117	3058
37	120	3054
38	123	3045
39	126	3041
40	130	3041
41	133	3048
42	137	3051
43	140	3047
44	143	3038
45	146	3039
46	149	3039
47	152	3033
48	156	3027
49	159	3024
50	162	3027
51	165	3025
52	169	3019
53	172	3016
54	175	3010
55	178	3011
56	181	3009
57	184	3004
58	187	2998
59	191	2994
60	194	2996
61	197	2992
62	200	2989
63	204	2986
64	207	2980
65	210	2981
66	213	2977
67	217	2974
68	220	2969
69	223	2963
70	226	2962
71	230	2966
72	233	2963
73	236	2957
74	239	2952
75	242	2952
76	246	2954
77	249	2947
78	252	2944
79	255	2941
80	258	2931
81	261	2932
82	265	2927
83	268	2923
84	271	2920
85	274	2917
86	278	2919
87	281	2914
88	284	2911
89	287	2906
90	290	2906
91	294	2906
92	297	2901
93	300	2897
94	303	2893
95	307	2891
96	310	2889
97	313	2885
98	316	2881
99	319	2876
100	322	2874
101	326	2871
102	329	2866
103	332	2862
104	335	2858
105	338	2857
106	342	2857
107	345	2855
108	349	2853
109	352	2851
110	355	2850
111	359	2848
112	362	2844
113	365	2841
114	368	2838
115	372	2836
116	375	2834
117	378	2832
118	382	2828
119	385	2824
120	388	2824
121	392	2821
122	395	2816
123	398	2814
124	401	2811
125	405	2811
126	408	2809
127	412	2807
128	415	2806
129	418	2802
130	422	2802
131	425	2799
132	429	2797
133	432	2793
134	435	2788
135	438	2787
136	442	2784
137	445	2781
138	448	2778
139	452	2776
140	456	2782
141	459	2779
142	463	2775
143	466	2772
144	470	2771
145	473	2770
146	477	2769
147	480	2765
148	484	2765
149	487	2763
150	490	2759
151	493	2755
152	497	2752
153	500	2748
154	503	2746
155	507	2743
156	510	2740
157	513	2737
158	516	2732
159	520	2730
160	523	2726
161	526	2721
162	529	2717
163	532	2713
164	535	2711
165	538	2707
166	542	2704
167	545	2701
168	548	2697
169	551	2693
170	554	2689
171	557	2685
172	561	2682
173	564	2679
174	568	2680
175	571	2675
176	574	2671
177	577	2667
178	580	2664
179	584	2664
180	588	2661
181	591	2657
182	597	2666
183	600	2664
184	603	2659
185	606	2655
186	609	2651
187	612	2647
188	616	2644
189	619	2640
190	622	2635
191	625	2631
192	628	2627
193	631	2624
194	634	2620
195	637	2616
196	640	2611
197	643	2607
198	646	2603
199	649	2598
200	652	2593
201	655	2589
202	658	2584
203	661	2579
204	665	2579
205	668	2575
206	671	2570
207	673	2566
208	676	2561
209	679	2557
210	683	2554
211	686	2550
212	689	2546
213	691	2541
214	694	2536
215	697	2532
216	700	2527
217	703	2523
218	706	2519
219	709	2515
220	712	2511
221	715	2507
222	718	2503
223	721	2499
224	724	2494
225	727	2491
226	730	2488
227	733	2484
228	736	2479
229	739	2475
230	742	2471
231	745	2469
232	748	2465
233	752	2463
234	755	2459
235	758	2455
236	761	2451
237	764	2446
238	767	2443
